time,length,cover,avg_distance
0,622.1633635277773,3750.5,312.50603905832975
1,1124.1098698877984,5431.0,274.03059002328604
2,1213.8108396887192,5825.5,281.25349819314175
3,1289.2124999605812,6224.5,290.6148459423165
4,1351.5208098653636,6544.5,298.02470471618125
5,1434.480016758419,6979.5,310.33821207564336
6,1551.4835138704648,7575.25,319.76908741865816
7,1677.7135959479197,8301.0,331.86912808174117
8,1785.9855629265485,8915.75,339.73390973224457
9,1967.2840823099455,9877.25,354.4950540347351
10,2185.20121044841,11065.0,369.145979065672
11,2398.6585684833435,12214.75,380.86160364876736
12,2655.3346365339567,13642.5,397.1820231164206
13,2940.7759261399565,15179.5,410.39897420119695
14,3226.671777299853,16716.0,423.8521095886559
15,3519.5469873969155,18237.25,436.860103727111
16,3806.261356235442,19666.25,449.54730491843196
17,4142.347317613114,21411.5,456.606874706539
18,4493.312961860234,23150.5,463.6725603448183
19,4842.265006566478,24839.5,470.4541408135749
20,5187.351483982715,26549.25,478.0150101219719
21,5592.411254937488,28576.5,487.7158180071004
22,6007.270269861558,30640.5,498.8797221673613
23,6418.1636681586815,32413.75,509.6585746649757
24,6826.979645601457,33995.75,519.6300830041563
25,7308.020357440768,36126.25,532.7669834094276
26,7823.72976245759,38567.5,547.79300341156
27,8318.019419446311,40783.75,560.1269959857301
28,8826.075181457418,43041.0,573.6978887896571
