time,length,cover,avg_distance
0,341.88951802328666,2078.5,170.54141202169467
1,1265.949720345307,6393.75,276.0209902965132
2,1366.1445026799433,6856.0,285.21182880101577
3,1491.7365941545697,7389.75,297.794684655187
4,1593.08910993994,7837.75,305.09907343769106
5,1715.8672830844455,8398.25,312.6077917730511
6,1880.9575053642384,9275.0,326.32012671139677
7,2039.1303025138827,10104.75,337.8708189277813
8,2154.3150874653243,10646.25,344.131882351508
9,2322.5817645110674,11496.0,357.21922195087393
10,2518.6736590894348,12458.0,367.15675808381343
11,2757.3497019084252,13543.5,377.89046884174644
12,2983.900379034455,14709.5,389.94723622062327
13,3207.488092466431,15857.5,404.377461599357
14,3430.7280352998987,16955.5,415.33921386772704
15,3657.8326774924635,18043.25,427.1624205538296
16,3808.15806538007,18908.75,435.30244975794403
17,3983.9476718802457,19937.75,446.11548312884224
18,4156.788335139292,20866.0,453.727338614183
19,4275.587723487433,21424.75,456.1073603940929
20,4393.091771171333,21999.5,458.8658024319593
21,4520.367641407798,22692.0,462.64313509402115
22,4659.0356974043925,23322.25,466.68820376680264
23,4754.787415438625,23824.75,469.6043422505311
24,4851.685870987463,24350.75,472.5098600843081
25,4974.0405612275135,25041.5,476.44064371429687
26,5087.017784438556,25625.25,480.86690767664686
27,5163.127654610642,26005.5,484.10897904397484
28,5255.518988784474,26482.75,488.4800689881165
